"CNKEY";"CN_CODE";"LEVEL";"NAME_FR"
"021011000010";"";"4";"Viandes de l'espèce porcine"
"021011000080";"021011";"5";"Jambons, épaules et leurs morceaux, non désossés"
"021011110010";"";"6";"de l'espèce porcine domestique"
"021011110020";"";"7";"salés ou en saumure"
"021011110080";"02101111";"8";"Jambons et morceaux de jambons"
"021011190080";"02101119";"8";"Épaules et morceaux d'épaules"
"021011310010";"";"7";"séchés ou fumés"
"021011310080";"02101131";"8";"Jambons et morceaux de jambons"
"021011390080";"02101139";"8";"Épaules et morceaux d'épaules"
"021011900080";"02101190";"6";"autres"
"021012000080";"021012";"5";"Poitrines (entrelardées) et leurs morceaux"
"021012110010";"";"6";"de l'espèce porcine domestique"
"021012110080";"02101211";"7";"salées ou en saumure"
"021012190080";"02101219";"7";"séchées ou fumées"
"021012900080";"02101290";"6";"autres"
"021019000080";"021019";"5";"autres"
"021019100010";"";"6";"de l'espèce porcine domestique"
"021019100020";"";"7";"salées ou en saumure"
"021019100080";"02101910";"8";"Demicarcasses de bacon ou troisquarts avant"
"021019200080";"02101920";"8";"Troisquarts arrière ou milieux"
"021019300080";"02101930";"8";"Parties avant et morceaux de parties avant"
"021019400080";"02101940";"8";"Longes et morceaux de longes"
"021019500080";"02101950";"8";"autres"
"021019600010";"";"7";"séchées ou fumées"
"021019600080";"02101960";"8";"Parties avant et morceaux de parties avant"
"021019700080";"02101970";"8";"Longes et morceaux de longes"
"021019810010";"";"8";"autres"
"021019810080";"02101981";"9";"désossées"
"021019890080";"02101989";"9";"autres"
"021019900080";"02101990";"6";"autres"
"021020000080";"021020";"4";"Viandes de l'espèce bovine"
"021020100080";"02102010";"5";"non désossées"
"021020900080";"02102090";"5";"désossées"
"021091000010";"";"4";"autres, y compris les farines et poudres, comestibles, de viandes ou d'abats"
"021091000080";"02109100";"5";"de primates"
"021092000080";"021092";"5";" de baleines, dauphins et marsouins (mammifères de l’ordre Cetacea); de lamantins et dugongs (mammifères de l’ordre Sirenia); d’otaries et phoques, lions de mer et morses (mammifères du sousordre Pinnipedia)"
"021092100080";"02109210";"6";" de baleines, dauphins et marsouins (mammifères de l'ordre des cétacés); de lamantins et dugongs (mammifères de l'ordre des siréniens)"
"021092910010";"";"6";"autres"
"021092910080";"02109291";"7";"Viandes"
"021092920080";"02109292";"7";"Abats"
"021092990080";"02109299";"7";"Farines et poudres, comestibles, de viandes ou d'abats"
"021093000080";"02109300";"5";"de reptiles (y compris les serpents et les tortues de mer)"
"021099000080";"021099";"5";"autres"
"021099100010";"";"6";"Viandes"
"021099100080";"02109910";"7";"de cheval, salées ou en saumure ou bien séchées"
"021099210010";"";"7";"des espèces ovine et caprine"
"021099210080";"02109921";"8";"non désossées"
"021099290080";"02109929";"8";"désossées"
"021099310080";"02109931";"7";"de rennes"
"021099390080";"02109939";"7";"autres"
"021099410010";"";"6";"Abats"
"021099410020";"";"7";"de l'espèce porcine domestique"
"021099410080";"02109941";"8";"Foies"
"021099490080";"02109949";"8";"autres"
"021099510010";"";"7";"de l'espèce bovine"
